parcel_id,date,ndvi_value,temperature_c,rainfall_mm,sensor_status,mill_id,crop_type,sowing_date,area_hectares
PARCEL_018,16-05-2026,0.595,15.4,0.0,Error,MILL_SOUTH,sugarcane,2026-01-11,5.82
PARCEL_014,27-01-2026,0.457,27.6,0.0,OK,MILL_NORTH,sugarcane,2026-01-05,9.39
PARCEL_006,17-05-2026,0.49700000000000005,25.8,0.0,OK,MILL_WEST,sugarcane,2026-02-11,5.67
PARCEL_004,10-02-2026,0.81,25.0,0.0,OK,MILL_NORTH,sugarcane,2026-01-02,3.18
PARCEL_002,17-01-2026,0.26899999999999996,33.2,0.0,OK,MILL_SOUTH,sugarcane,2026-01-16,8.97
PARCEL_015,19-03-2026,0.873,26.3,0.0,OK,MILL_SOUTH,sugarcane,2026-01-06,4.87
PARCEL_020,08-05-2026,0.8059999999999999,16.8,2.7,OK,MILL_NORTH,sugarcane,2026-02-19,9.95
PARCEL_010,20-01-2026,0.315,27.9,0.9,OK,MILL_EAST,sugarcane,2026-01-07,7.44
PARCEL_012,09-05-2026,0.894,23.8,0.0,NA,MILL_WEST,sugarcane,2026-03-01,6.85
PARCEL_008,07-02-2026,0.278,15.7,4.1,Error,MILL_EAST,sugarcane,2026-01-22,2.98
PARCEL_019,10-01-2026,0.198,15.3,1.0,OK,MILL_SOUTH,sugarcane,2026-01-18,10.19
PARCEL_010,10-05-2026,0.40299999999999997,18.7,0.0,OK,MILL_EAST,sugarcane,2026-01-07,7.44
PARCEL_001,16-01-2026,0.231,34.5,0.0,OK,MILL_NORTH,sugarcane,2026-02-10,9.03
PARCEL_023,24-03-2026,0.873,31.3,0.0,OK,MILL_WEST,sugarcane,2026-01-26,3.55
PARCEL_020,12-03-2026,0.222,24.4,2.9,OK,MILL_NORTH,sugarcane,2026-02-19,9.95
PARCEL_013,01-01-2026,0.23,31.9,0.0,OK,MILL_EAST,soybean,2026-02-23,2.71
PARCEL_025,04-02-2026,0.071,33.4,0.0,OK,MILL_WEST,sugarcane,2026-02-07,3.02
PARCEL_001,26-01-2026,0.151,22.6,0.0,OK,MILL_NORTH,sugarcane,2026-02-10,9.03
PARCEL_013,28-01-2026,0.15,19.2,0.0,OK,MILL_EAST,soybean,2026-02-23,2.71
PARCEL_002,10-04-2026,0.672,21.2,0.0,OK,MILL_SOUTH,sugarcane,2026-01-16,8.97
PARCEL_023,24-04-2026,0.698,35.1,0.0,OK,MILL_WEST,sugarcane,2026-01-26,3.55
PARCEL_022,26-03-2026,0.532,34.7,0.0,Error,MILL_EAST,sugarcane,2026-01-14,8.04
PARCEL_020,18-04-2026,0.6990000000000001,35.0,0.0,OK,MILL_NORTH,sugarcane,2026-02-19,9.95
PARCEL_024,11-03-2026,0.569,24.2,0.0,OK,MILL_EAST,soybean,2026-01-16,5.43
